1 epoch, LR 0.001000, LOSS 0.771385, TRAIN_ACC 49.91%, EVAL_ACC 42.11%, EER 54.55%, bestEER 54.55%
2 epoch, LR 0.000970, LOSS 0.725119, TRAIN_ACC 56.16%, EVAL_ACC 45.61%, EER 50.00%, bestEER 50.00%
3 epoch, LR 0.000941, LOSS 0.672568, TRAIN_ACC 59.81%, EVAL_ACC 52.63%, EER 45.83%, bestEER 45.83%
4 epoch, LR 0.000913, LOSS 0.658249, TRAIN_ACC 61.37%, EVAL_ACC 63.16%, EER 48.48%, bestEER 45.83%
5 epoch, LR 0.000885, LOSS 0.653293, TRAIN_ACC 62.67%, EVAL_ACC 57.89%, EER 33.33%, bestEER 33.33%
6 epoch, LR 0.000859, LOSS 0.636707, TRAIN_ACC 64.15%, EVAL_ACC 57.89%, EER 33.33%, bestEER 33.33%
7 epoch, LR 0.000833, LOSS 0.623860, TRAIN_ACC 66.49%, EVAL_ACC 57.89%, EER 33.33%, bestEER 33.33%
8 epoch, LR 0.000808, LOSS 0.631398, TRAIN_ACC 65.10%, EVAL_ACC 57.89%, EER 33.33%, bestEER 33.33%
9 epoch, LR 0.000784, LOSS 0.614986, TRAIN_ACC 66.41%, EVAL_ACC 57.89%, EER 39.39%, bestEER 33.33%
10 epoch, LR 0.000760, LOSS 0.614437, TRAIN_ACC 67.10%, EVAL_ACC 57.89%, EER 42.42%, bestEER 33.33%
11 epoch, LR 0.000737, LOSS 0.597334, TRAIN_ACC 67.88%, EVAL_ACC 57.89%, EER 37.50%, bestEER 33.33%
12 epoch, LR 0.000715, LOSS 0.586280, TRAIN_ACC 68.84%, EVAL_ACC 57.89%, EER 37.50%, bestEER 33.33%
13 epoch, LR 0.000694, LOSS 0.595950, TRAIN_ACC 69.01%, EVAL_ACC 57.89%, EER 37.50%, bestEER 33.33%
14 epoch, LR 0.000673, LOSS 0.554418, TRAIN_ACC 71.61%, EVAL_ACC 57.89%, EER 37.50%, bestEER 33.33%
15 epoch, LR 0.000653, LOSS 0.586450, TRAIN_ACC 68.92%, EVAL_ACC 57.89%, EER 37.50%, bestEER 33.33%
16 epoch, LR 0.000633, LOSS 0.571044, TRAIN_ACC 71.09%, EVAL_ACC 57.89%, EER 37.50%, bestEER 33.33%
17 epoch, LR 0.000614, LOSS 0.547214, TRAIN_ACC 72.22%, EVAL_ACC 57.89%, EER 45.45%, bestEER 33.33%
18 epoch, LR 0.000596, LOSS 0.572086, TRAIN_ACC 71.53%, EVAL_ACC 57.89%, EER 37.50%, bestEER 33.33%
19 epoch, LR 0.000578, LOSS 0.553560, TRAIN_ACC 72.14%, EVAL_ACC 57.89%, EER 42.42%, bestEER 33.33%
20 epoch, LR 0.000561, LOSS 0.564029, TRAIN_ACC 71.09%, EVAL_ACC 59.65%, EER 42.42%, bestEER 33.33%
21 epoch, LR 0.000544, LOSS 0.550683, TRAIN_ACC 72.05%, EVAL_ACC 61.40%, EER 37.50%, bestEER 33.33%
22 epoch, LR 0.000527, LOSS 0.536781, TRAIN_ACC 73.70%, EVAL_ACC 57.89%, EER 37.50%, bestEER 33.33%
23 epoch, LR 0.000512, LOSS 0.530191, TRAIN_ACC 73.18%, EVAL_ACC 61.40%, EER 33.33%, bestEER 33.33%
24 epoch, LR 0.000496, LOSS 0.555116, TRAIN_ACC 73.00%, EVAL_ACC 59.65%, EER 37.50%, bestEER 33.33%
25 epoch, LR 0.000481, LOSS 0.536879, TRAIN_ACC 72.57%, EVAL_ACC 59.65%, EER 37.50%, bestEER 33.33%
26 epoch, LR 0.000467, LOSS 0.526187, TRAIN_ACC 73.96%, EVAL_ACC 63.16%, EER 33.33%, bestEER 33.33%
27 epoch, LR 0.000453, LOSS 0.519171, TRAIN_ACC 73.70%, EVAL_ACC 59.65%, EER 33.33%, bestEER 33.33%
28 epoch, LR 0.000439, LOSS 0.539525, TRAIN_ACC 72.66%, EVAL_ACC 61.40%, EER 33.33%, bestEER 33.33%
29 epoch, LR 0.000426, LOSS 0.514345, TRAIN_ACC 76.82%, EVAL_ACC 61.40%, EER 37.50%, bestEER 33.33%
30 epoch, LR 0.000413, LOSS 0.537547, TRAIN_ACC 73.09%, EVAL_ACC 61.40%, EER 39.39%, bestEER 33.33%
31 epoch, LR 0.000401, LOSS 0.528419, TRAIN_ACC 73.26%, EVAL_ACC 61.40%, EER 33.33%, bestEER 33.33%
32 epoch, LR 0.000389, LOSS 0.541241, TRAIN_ACC 71.61%, EVAL_ACC 59.65%, EER 33.33%, bestEER 33.33%
33 epoch, LR 0.000377, LOSS 0.497509, TRAIN_ACC 75.17%, EVAL_ACC 59.65%, EER 36.36%, bestEER 33.33%
34 epoch, LR 0.000366, LOSS 0.536032, TRAIN_ACC 73.09%, EVAL_ACC 63.16%, EER 39.39%, bestEER 33.33%
