1 epoch, LR 0.001000, LOSS 0.743794, TRAIN_ACC 51.91%, EVAL_ACC 63.16%, EER 57.58%, bestEER 57.58%
2 epoch, LR 0.000970, LOSS 0.700611, TRAIN_ACC 56.77%, EVAL_ACC 57.89%, EER 51.52%, bestEER 51.52%
3 epoch, LR 0.000941, LOSS 0.662090, TRAIN_ACC 60.85%, EVAL_ACC 57.89%, EER 51.52%, bestEER 51.52%
4 epoch, LR 0.000913, LOSS 0.667983, TRAIN_ACC 60.50%, EVAL_ACC 57.89%, EER 50.00%, bestEER 50.00%
5 epoch, LR 0.000885, LOSS 0.618075, TRAIN_ACC 66.75%, EVAL_ACC 57.89%, EER 51.52%, bestEER 50.00%
6 epoch, LR 0.000859, LOSS 0.616034, TRAIN_ACC 65.62%, EVAL_ACC 57.89%, EER 51.52%, bestEER 50.00%
7 epoch, LR 0.000833, LOSS 0.612286, TRAIN_ACC 68.40%, EVAL_ACC 57.89%, EER 45.83%, bestEER 45.83%
8 epoch, LR 0.000808, LOSS 0.619450, TRAIN_ACC 68.23%, EVAL_ACC 57.89%, EER 45.83%, bestEER 45.83%
9 epoch, LR 0.000784, LOSS 0.605587, TRAIN_ACC 67.27%, EVAL_ACC 57.89%, EER 42.42%, bestEER 42.42%
10 epoch, LR 0.000760, LOSS 0.584466, TRAIN_ACC 68.06%, EVAL_ACC 57.89%, EER 42.42%, bestEER 42.42%
11 epoch, LR 0.000737, LOSS 0.621052, TRAIN_ACC 67.19%, EVAL_ACC 57.89%, EER 42.42%, bestEER 42.42%
12 epoch, LR 0.000715, LOSS 0.607912, TRAIN_ACC 69.70%, EVAL_ACC 57.89%, EER 42.42%, bestEER 42.42%
13 epoch, LR 0.000694, LOSS 0.565685, TRAIN_ACC 71.18%, EVAL_ACC 57.89%, EER 45.83%, bestEER 42.42%
14 epoch, LR 0.000673, LOSS 0.578124, TRAIN_ACC 69.27%, EVAL_ACC 57.89%, EER 45.83%, bestEER 42.42%
15 epoch, LR 0.000653, LOSS 0.569207, TRAIN_ACC 69.88%, EVAL_ACC 57.89%, EER 45.83%, bestEER 42.42%
16 epoch, LR 0.000633, LOSS 0.569190, TRAIN_ACC 70.57%, EVAL_ACC 57.89%, EER 45.83%, bestEER 42.42%
17 epoch, LR 0.000614, LOSS 0.567778, TRAIN_ACC 70.92%, EVAL_ACC 57.89%, EER 42.42%, bestEER 42.42%
18 epoch, LR 0.000596, LOSS 0.538415, TRAIN_ACC 72.66%, EVAL_ACC 57.89%, EER 39.39%, bestEER 39.39%
19 epoch, LR 0.000578, LOSS 0.554740, TRAIN_ACC 71.44%, EVAL_ACC 57.89%, EER 45.83%, bestEER 39.39%
20 epoch, LR 0.000561, LOSS 0.564589, TRAIN_ACC 71.01%, EVAL_ACC 57.89%, EER 45.83%, bestEER 39.39%
21 epoch, LR 0.000544, LOSS 0.538722, TRAIN_ACC 74.57%, EVAL_ACC 57.89%, EER 45.83%, bestEER 39.39%
22 epoch, LR 0.000527, LOSS 0.537415, TRAIN_ACC 72.22%, EVAL_ACC 57.89%, EER 45.83%, bestEER 39.39%
23 epoch, LR 0.000512, LOSS 0.549513, TRAIN_ACC 73.61%, EVAL_ACC 57.89%, EER 39.39%, bestEER 39.39%
24 epoch, LR 0.000496, LOSS 0.534491, TRAIN_ACC 72.83%, EVAL_ACC 57.89%, EER 42.42%, bestEER 39.39%
25 epoch, LR 0.000481, LOSS 0.519886, TRAIN_ACC 74.91%, EVAL_ACC 57.89%, EER 39.39%, bestEER 39.39%
26 epoch, LR 0.000467, LOSS 0.517503, TRAIN_ACC 73.78%, EVAL_ACC 57.89%, EER 39.39%, bestEER 39.39%
27 epoch, LR 0.000453, LOSS 0.528394, TRAIN_ACC 73.44%, EVAL_ACC 57.89%, EER 37.50%, bestEER 37.50%
28 epoch, LR 0.000439, LOSS 0.506343, TRAIN_ACC 76.56%, EVAL_ACC 57.89%, EER 37.50%, bestEER 37.50%
29 epoch, LR 0.000426, LOSS 0.505996, TRAIN_ACC 74.48%, EVAL_ACC 57.89%, EER 37.50%, bestEER 37.50%
30 epoch, LR 0.000413, LOSS 0.530536, TRAIN_ACC 74.48%, EVAL_ACC 57.89%, EER 42.42%, bestEER 37.50%
31 epoch, LR 0.000401, LOSS 0.502282, TRAIN_ACC 75.61%, EVAL_ACC 57.89%, EER 37.50%, bestEER 37.50%
32 epoch, LR 0.000389, LOSS 0.505707, TRAIN_ACC 76.56%, EVAL_ACC 57.89%, EER 33.33%, bestEER 33.33%
33 epoch, LR 0.000377, LOSS 0.505423, TRAIN_ACC 76.30%, EVAL_ACC 57.89%, EER 33.33%, bestEER 33.33%
34 epoch, LR 0.000366, LOSS 0.505383, TRAIN_ACC 76.48%, EVAL_ACC 57.89%, EER 37.50%, bestEER 33.33%
35 epoch, LR 0.000355, LOSS 0.493676, TRAIN_ACC 77.60%, EVAL_ACC 57.89%, EER 33.33%, bestEER 33.33%
36 epoch, LR 0.000344, LOSS 0.497059, TRAIN_ACC 75.61%, EVAL_ACC 57.89%, EER 33.33%, bestEER 33.33%
37 epoch, LR 0.000334, LOSS 0.490896, TRAIN_ACC 76.74%, EVAL_ACC 57.89%, EER 33.33%, bestEER 33.33%
38 epoch, LR 0.000324, LOSS 0.476684, TRAIN_ACC 79.43%, EVAL_ACC 57.89%, EER 39.39%, bestEER 33.33%
39 epoch, LR 0.000314, LOSS 0.486722, TRAIN_ACC 77.52%, EVAL_ACC 57.89%, EER 37.50%, bestEER 33.33%
40 epoch, LR 0.000305, LOSS 0.468461, TRAIN_ACC 77.69%, EVAL_ACC 57.89%, EER 37.50%, bestEER 33.33%
41 epoch, LR 0.000296, LOSS 0.481419, TRAIN_ACC 77.00%, EVAL_ACC 57.89%, EER 37.50%, bestEER 33.33%
42 epoch, LR 0.000287, LOSS 0.483647, TRAIN_ACC 77.78%, EVAL_ACC 57.89%, EER 37.50%, bestEER 33.33%
43 epoch, LR 0.000278, LOSS 0.466640, TRAIN_ACC 79.08%, EVAL_ACC 57.89%, EER 37.50%, bestEER 33.33%
44 epoch, LR 0.000270, LOSS 0.448253, TRAIN_ACC 78.56%, EVAL_ACC 57.89%, EER 37.50%, bestEER 33.33%
45 epoch, LR 0.000262, LOSS 0.454670, TRAIN_ACC 79.17%, EVAL_ACC 57.89%, EER 42.42%, bestEER 33.33%
46 epoch, LR 0.000254, LOSS 0.465735, TRAIN_ACC 77.60%, EVAL_ACC 57.89%, EER 42.42%, bestEER 33.33%
47 epoch, LR 0.000246, LOSS 0.463703, TRAIN_ACC 78.30%, EVAL_ACC 57.89%, EER 42.42%, bestEER 33.33%
48 epoch, LR 0.000239, LOSS 0.480288, TRAIN_ACC 78.30%, EVAL_ACC 57.89%, EER 42.42%, bestEER 33.33%
49 epoch, LR 0.000232, LOSS 0.452459, TRAIN_ACC 78.39%, EVAL_ACC 57.89%, EER 42.42%, bestEER 33.33%
50 epoch, LR 0.000225, LOSS 0.465096, TRAIN_ACC 78.30%, EVAL_ACC 57.89%, EER 39.39%, bestEER 33.33%
51 epoch, LR 0.000218, LOSS 0.442637, TRAIN_ACC 79.08%, EVAL_ACC 57.89%, EER 42.42%, bestEER 33.33%
52 epoch, LR 0.000212, LOSS 0.463536, TRAIN_ACC 76.48%, EVAL_ACC 57.89%, EER 42.42%, bestEER 33.33%
53 epoch, LR 0.000205, LOSS 0.477410, TRAIN_ACC 77.43%, EVAL_ACC 57.89%, EER 37.50%, bestEER 33.33%
54 epoch, LR 0.000199, LOSS 0.458085, TRAIN_ACC 79.08%, EVAL_ACC 57.89%, EER 37.50%, bestEER 33.33%
55 epoch, LR 0.000193, LOSS 0.459005, TRAIN_ACC 78.47%, EVAL_ACC 57.89%, EER 37.50%, bestEER 33.33%
56 epoch, LR 0.000187, LOSS 0.457723, TRAIN_ACC 77.95%, EVAL_ACC 57.89%, EER 37.50%, bestEER 33.33%
57 epoch, LR 0.000182, LOSS 0.441488, TRAIN_ACC 79.51%, EVAL_ACC 57.89%, EER 37.50%, bestEER 33.33%
58 epoch, LR 0.000176, LOSS 0.446389, TRAIN_ACC 78.82%, EVAL_ACC 57.89%, EER 39.39%, bestEER 33.33%
59 epoch, LR 0.000171, LOSS 0.461143, TRAIN_ACC 78.82%, EVAL_ACC 57.89%, EER 42.42%, bestEER 33.33%
60 epoch, LR 0.000166, LOSS 0.427998, TRAIN_ACC 82.29%, EVAL_ACC 57.89%, EER 45.45%, bestEER 33.33%
61 epoch, LR 0.000161, LOSS 0.427779, TRAIN_ACC 81.25%, EVAL_ACC 57.89%, EER 45.45%, bestEER 33.33%
62 epoch, LR 0.000156, LOSS 0.440615, TRAIN_ACC 79.17%, EVAL_ACC 57.89%, EER 42.42%, bestEER 33.33%
63 epoch, LR 0.000151, LOSS 0.454228, TRAIN_ACC 77.52%, EVAL_ACC 57.89%, EER 42.42%, bestEER 33.33%
64 epoch, LR 0.000147, LOSS 0.432209, TRAIN_ACC 81.08%, EVAL_ACC 57.89%, EER 39.39%, bestEER 33.33%
65 epoch, LR 0.000142, LOSS 0.439997, TRAIN_ACC 80.47%, EVAL_ACC 57.89%, EER 39.39%, bestEER 33.33%
66 epoch, LR 0.000138, LOSS 0.415035, TRAIN_ACC 80.64%, EVAL_ACC 56.14%, EER 37.50%, bestEER 33.33%
67 epoch, LR 0.000134, LOSS 0.441463, TRAIN_ACC 80.21%, EVAL_ACC 56.14%, EER 39.39%, bestEER 33.33%
68 epoch, LR 0.000130, LOSS 0.447838, TRAIN_ACC 79.51%, EVAL_ACC 54.39%, EER 37.50%, bestEER 33.33%
