1 epoch, LR 0.001000, LOSS 0.737543, TRAIN_ACC 52.95%, EVAL_ACC 57.89%, EER 45.83%, bestEER 45.83%
2 epoch, LR 0.000970, LOSS 0.641580, TRAIN_ACC 63.63%, EVAL_ACC 57.89%, EER 42.42%, bestEER 42.42%
3 epoch, LR 0.000941, LOSS 0.619386, TRAIN_ACC 67.45%, EVAL_ACC 57.89%, EER 45.83%, bestEER 42.42%
4 epoch, LR 0.000913, LOSS 0.594341, TRAIN_ACC 67.27%, EVAL_ACC 57.89%, EER 42.42%, bestEER 42.42%
5 epoch, LR 0.000885, LOSS 0.592802, TRAIN_ACC 69.70%, EVAL_ACC 57.89%, EER 45.83%, bestEER 42.42%
6 epoch, LR 0.000859, LOSS 0.592190, TRAIN_ACC 69.44%, EVAL_ACC 57.89%, EER 42.42%, bestEER 42.42%
7 epoch, LR 0.000833, LOSS 0.537419, TRAIN_ACC 72.83%, EVAL_ACC 57.89%, EER 42.42%, bestEER 42.42%
8 epoch, LR 0.000808, LOSS 0.541613, TRAIN_ACC 72.57%, EVAL_ACC 57.89%, EER 39.39%, bestEER 39.39%
9 epoch, LR 0.000784, LOSS 0.489383, TRAIN_ACC 77.52%, EVAL_ACC 57.89%, EER 39.39%, bestEER 39.39%
10 epoch, LR 0.000760, LOSS 0.491780, TRAIN_ACC 77.86%, EVAL_ACC 57.89%, EER 41.67%, bestEER 39.39%
11 epoch, LR 0.000737, LOSS 0.457771, TRAIN_ACC 79.43%, EVAL_ACC 57.89%, EER 45.83%, bestEER 39.39%
12 epoch, LR 0.000715, LOSS 0.475048, TRAIN_ACC 78.56%, EVAL_ACC 57.89%, EER 37.50%, bestEER 37.50%
13 epoch, LR 0.000694, LOSS 0.430795, TRAIN_ACC 81.77%, EVAL_ACC 57.89%, EER 41.67%, bestEER 37.50%
14 epoch, LR 0.000673, LOSS 0.424422, TRAIN_ACC 81.60%, EVAL_ACC 57.89%, EER 45.83%, bestEER 37.50%
15 epoch, LR 0.000653, LOSS 0.407201, TRAIN_ACC 80.99%, EVAL_ACC 57.89%, EER 45.45%, bestEER 37.50%
16 epoch, LR 0.000633, LOSS 0.371278, TRAIN_ACC 83.85%, EVAL_ACC 57.89%, EER 42.42%, bestEER 37.50%
17 epoch, LR 0.000614, LOSS 0.359829, TRAIN_ACC 86.20%, EVAL_ACC 57.89%, EER 33.33%, bestEER 33.33%
18 epoch, LR 0.000596, LOSS 0.340755, TRAIN_ACC 86.72%, EVAL_ACC 57.89%, EER 37.50%, bestEER 33.33%
19 epoch, LR 0.000578, LOSS 0.335256, TRAIN_ACC 87.24%, EVAL_ACC 57.89%, EER 37.50%, bestEER 33.33%
20 epoch, LR 0.000561, LOSS 0.323722, TRAIN_ACC 86.89%, EVAL_ACC 57.89%, EER 33.33%, bestEER 33.33%
21 epoch, LR 0.000544, LOSS 0.304374, TRAIN_ACC 88.45%, EVAL_ACC 57.89%, EER 33.33%, bestEER 33.33%
22 epoch, LR 0.000527, LOSS 0.276722, TRAIN_ACC 91.32%, EVAL_ACC 57.89%, EER 33.33%, bestEER 33.33%
23 epoch, LR 0.000512, LOSS 0.295261, TRAIN_ACC 89.76%, EVAL_ACC 57.89%, EER 33.33%, bestEER 33.33%
24 epoch, LR 0.000496, LOSS 0.258569, TRAIN_ACC 90.45%, EVAL_ACC 57.89%, EER 33.33%, bestEER 33.33%
25 epoch, LR 0.000481, LOSS 0.270934, TRAIN_ACC 90.97%, EVAL_ACC 57.89%, EER 39.39%, bestEER 33.33%
26 epoch, LR 0.000467, LOSS 0.258118, TRAIN_ACC 90.36%, EVAL_ACC 57.89%, EER 33.33%, bestEER 33.33%
27 epoch, LR 0.000453, LOSS 0.245000, TRAIN_ACC 90.89%, EVAL_ACC 57.89%, EER 33.33%, bestEER 33.33%
28 epoch, LR 0.000439, LOSS 0.258403, TRAIN_ACC 90.02%, EVAL_ACC 57.89%, EER 33.33%, bestEER 33.33%
29 epoch, LR 0.000426, LOSS 0.259650, TRAIN_ACC 90.10%, EVAL_ACC 57.89%, EER 45.45%, bestEER 33.33%
30 epoch, LR 0.000413, LOSS 0.233519, TRAIN_ACC 91.49%, EVAL_ACC 57.89%, EER 45.83%, bestEER 33.33%
31 epoch, LR 0.000401, LOSS 0.235780, TRAIN_ACC 91.41%, EVAL_ACC 57.89%, EER 41.67%, bestEER 33.33%
