1 epoch, LR 0.001000, LOSS 0.769345, TRAIN_ACC 52.95%, EVAL_ACC 56.14%, EER 52.00%, bestEER 52.00%
2 epoch, LR 0.000970, LOSS 0.657326, TRAIN_ACC 62.24%, EVAL_ACC 56.14%, EER 36.00%, bestEER 36.00%
3 epoch, LR 0.000941, LOSS 0.633511, TRAIN_ACC 66.49%, EVAL_ACC 56.14%, EER 24.00%, bestEER 24.00%
4 epoch, LR 0.000913, LOSS 0.582032, TRAIN_ACC 68.66%, EVAL_ACC 56.14%, EER 32.00%, bestEER 24.00%
5 epoch, LR 0.000885, LOSS 0.561008, TRAIN_ACC 72.31%, EVAL_ACC 56.14%, EER 25.00%, bestEER 24.00%
6 epoch, LR 0.000859, LOSS 0.549487, TRAIN_ACC 72.22%, EVAL_ACC 56.14%, EER 25.00%, bestEER 24.00%
7 epoch, LR 0.000833, LOSS 0.522021, TRAIN_ACC 75.35%, EVAL_ACC 56.14%, EER 25.00%, bestEER 24.00%
8 epoch, LR 0.000808, LOSS 0.487992, TRAIN_ACC 76.82%, EVAL_ACC 57.89%, EER 25.00%, bestEER 24.00%
9 epoch, LR 0.000784, LOSS 0.481267, TRAIN_ACC 78.04%, EVAL_ACC 63.16%, EER 25.00%, bestEER 24.00%
10 epoch, LR 0.000760, LOSS 0.459335, TRAIN_ACC 78.65%, EVAL_ACC 63.16%, EER 28.12%, bestEER 24.00%
11 epoch, LR 0.000737, LOSS 0.444238, TRAIN_ACC 80.82%, EVAL_ACC 64.91%, EER 28.00%, bestEER 24.00%
12 epoch, LR 0.000715, LOSS 0.449725, TRAIN_ACC 79.86%, EVAL_ACC 64.91%, EER 28.12%, bestEER 24.00%
13 epoch, LR 0.000694, LOSS 0.418292, TRAIN_ACC 80.64%, EVAL_ACC 64.91%, EER 28.12%, bestEER 24.00%
14 epoch, LR 0.000673, LOSS 0.401089, TRAIN_ACC 81.60%, EVAL_ACC 63.16%, EER 28.12%, bestEER 24.00%
15 epoch, LR 0.000653, LOSS 0.405042, TRAIN_ACC 80.82%, EVAL_ACC 63.16%, EER 28.00%, bestEER 24.00%
16 epoch, LR 0.000633, LOSS 0.354286, TRAIN_ACC 86.89%, EVAL_ACC 63.16%, EER 25.00%, bestEER 24.00%
17 epoch, LR 0.000614, LOSS 0.360065, TRAIN_ACC 86.11%, EVAL_ACC 63.16%, EER 36.00%, bestEER 24.00%
18 epoch, LR 0.000596, LOSS 0.350153, TRAIN_ACC 84.98%, EVAL_ACC 61.40%, EER 36.00%, bestEER 24.00%
19 epoch, LR 0.000578, LOSS 0.333325, TRAIN_ACC 86.55%, EVAL_ACC 61.40%, EER 28.12%, bestEER 24.00%
20 epoch, LR 0.000561, LOSS 0.307128, TRAIN_ACC 88.37%, EVAL_ACC 61.40%, EER 28.12%, bestEER 24.00%
21 epoch, LR 0.000544, LOSS 0.342841, TRAIN_ACC 85.16%, EVAL_ACC 61.40%, EER 32.00%, bestEER 24.00%
22 epoch, LR 0.000527, LOSS 0.311573, TRAIN_ACC 88.89%, EVAL_ACC 61.40%, EER 28.12%, bestEER 24.00%
23 epoch, LR 0.000512, LOSS 0.306183, TRAIN_ACC 87.76%, EVAL_ACC 63.16%, EER 32.00%, bestEER 24.00%
24 epoch, LR 0.000496, LOSS 0.280503, TRAIN_ACC 89.84%, EVAL_ACC 64.91%, EER 32.00%, bestEER 24.00%
25 epoch, LR 0.000481, LOSS 0.270716, TRAIN_ACC 90.80%, EVAL_ACC 64.91%, EER 32.00%, bestEER 24.00%
26 epoch, LR 0.000467, LOSS 0.272265, TRAIN_ACC 89.93%, EVAL_ACC 61.40%, EER 34.38%, bestEER 24.00%
27 epoch, LR 0.000453, LOSS 0.247530, TRAIN_ACC 92.19%, EVAL_ACC 61.40%, EER 32.00%, bestEER 24.00%
28 epoch, LR 0.000439, LOSS 0.245591, TRAIN_ACC 89.84%, EVAL_ACC 61.40%, EER 31.25%, bestEER 24.00%
29 epoch, LR 0.000426, LOSS 0.255492, TRAIN_ACC 90.80%, EVAL_ACC 61.40%, EER 31.25%, bestEER 24.00%
30 epoch, LR 0.000413, LOSS 0.219595, TRAIN_ACC 93.06%, EVAL_ACC 61.40%, EER 32.00%, bestEER 24.00%
31 epoch, LR 0.000401, LOSS 0.247907, TRAIN_ACC 90.80%, EVAL_ACC 61.40%, EER 32.00%, bestEER 24.00%
32 epoch, LR 0.000389, LOSS 0.206892, TRAIN_ACC 94.44%, EVAL_ACC 61.40%, EER 32.00%, bestEER 24.00%
33 epoch, LR 0.000377, LOSS 0.231623, TRAIN_ACC 91.84%, EVAL_ACC 61.40%, EER 37.50%, bestEER 24.00%
34 epoch, LR 0.000366, LOSS 0.199714, TRAIN_ACC 94.01%, EVAL_ACC 59.65%, EER 36.00%, bestEER 24.00%
35 epoch, LR 0.000355, LOSS 0.204743, TRAIN_ACC 93.14%, EVAL_ACC 61.40%, EER 28.12%, bestEER 24.00%
36 epoch, LR 0.000344, LOSS 0.209122, TRAIN_ACC 93.23%, EVAL_ACC 61.40%, EER 28.12%, bestEER 24.00%
37 epoch, LR 0.000334, LOSS 0.209933, TRAIN_ACC 91.75%, EVAL_ACC 61.40%, EER 32.00%, bestEER 24.00%
38 epoch, LR 0.000324, LOSS 0.210715, TRAIN_ACC 92.19%, EVAL_ACC 61.40%, EER 34.38%, bestEER 24.00%
39 epoch, LR 0.000314, LOSS 0.185452, TRAIN_ACC 94.53%, EVAL_ACC 63.16%, EER 32.00%, bestEER 24.00%
40 epoch, LR 0.000305, LOSS 0.199755, TRAIN_ACC 92.62%, EVAL_ACC 61.40%, EER 32.00%, bestEER 24.00%
