1 epoch, LR 0.001000, LOSS 0.767518, TRAIN_ACC 48.78%, EVAL_ACC 42.11%, EER 51.52%, bestEER 51.52%
2 epoch, LR 0.000970, LOSS 0.679249, TRAIN_ACC 59.20%, EVAL_ACC 50.88%, EER 37.50%, bestEER 37.50%
3 epoch, LR 0.000941, LOSS 0.613987, TRAIN_ACC 67.97%, EVAL_ACC 52.63%, EER 30.30%, bestEER 30.30%
4 epoch, LR 0.000913, LOSS 0.586168, TRAIN_ACC 68.66%, EVAL_ACC 50.88%, EER 33.33%, bestEER 30.30%
5 epoch, LR 0.000885, LOSS 0.555549, TRAIN_ACC 70.92%, EVAL_ACC 52.63%, EER 27.27%, bestEER 27.27%
6 epoch, LR 0.000859, LOSS 0.552042, TRAIN_ACC 73.96%, EVAL_ACC 56.14%, EER 37.50%, bestEER 27.27%
7 epoch, LR 0.000833, LOSS 0.532662, TRAIN_ACC 72.14%, EVAL_ACC 52.63%, EER 33.33%, bestEER 27.27%
8 epoch, LR 0.000808, LOSS 0.511021, TRAIN_ACC 74.39%, EVAL_ACC 56.14%, EER 33.33%, bestEER 27.27%
9 epoch, LR 0.000784, LOSS 0.491698, TRAIN_ACC 76.22%, EVAL_ACC 54.39%, EER 33.33%, bestEER 27.27%
10 epoch, LR 0.000760, LOSS 0.475176, TRAIN_ACC 77.95%, EVAL_ACC 52.63%, EER 29.17%, bestEER 27.27%
11 epoch, LR 0.000737, LOSS 0.474358, TRAIN_ACC 77.26%, EVAL_ACC 54.39%, EER 29.17%, bestEER 27.27%
12 epoch, LR 0.000715, LOSS 0.451676, TRAIN_ACC 78.73%, EVAL_ACC 49.12%, EER 33.33%, bestEER 27.27%
13 epoch, LR 0.000694, LOSS 0.432311, TRAIN_ACC 80.12%, EVAL_ACC 50.88%, EER 30.30%, bestEER 27.27%
14 epoch, LR 0.000673, LOSS 0.435684, TRAIN_ACC 79.86%, EVAL_ACC 50.88%, EER 30.30%, bestEER 27.27%
15 epoch, LR 0.000653, LOSS 0.407579, TRAIN_ACC 81.77%, EVAL_ACC 56.14%, EER 37.50%, bestEER 27.27%
16 epoch, LR 0.000633, LOSS 0.388586, TRAIN_ACC 84.29%, EVAL_ACC 52.63%, EER 37.50%, bestEER 27.27%
17 epoch, LR 0.000614, LOSS 0.376419, TRAIN_ACC 84.37%, EVAL_ACC 50.88%, EER 33.33%, bestEER 27.27%
18 epoch, LR 0.000596, LOSS 0.389421, TRAIN_ACC 83.33%, EVAL_ACC 52.63%, EER 36.36%, bestEER 27.27%
19 epoch, LR 0.000578, LOSS 0.338607, TRAIN_ACC 85.94%, EVAL_ACC 50.88%, EER 39.39%, bestEER 27.27%
20 epoch, LR 0.000561, LOSS 0.344694, TRAIN_ACC 85.85%, EVAL_ACC 50.88%, EER 39.39%, bestEER 27.27%
21 epoch, LR 0.000544, LOSS 0.345257, TRAIN_ACC 86.02%, EVAL_ACC 50.88%, EER 36.36%, bestEER 27.27%
22 epoch, LR 0.000527, LOSS 0.302612, TRAIN_ACC 88.02%, EVAL_ACC 52.63%, EER 30.30%, bestEER 27.27%
23 epoch, LR 0.000512, LOSS 0.320479, TRAIN_ACC 86.37%, EVAL_ACC 50.88%, EER 30.30%, bestEER 27.27%
24 epoch, LR 0.000496, LOSS 0.293907, TRAIN_ACC 89.06%, EVAL_ACC 50.88%, EER 33.33%, bestEER 27.27%
25 epoch, LR 0.000481, LOSS 0.279397, TRAIN_ACC 89.41%, EVAL_ACC 49.12%, EER 30.30%, bestEER 27.27%
26 epoch, LR 0.000467, LOSS 0.281250, TRAIN_ACC 89.50%, EVAL_ACC 49.12%, EER 33.33%, bestEER 27.27%
27 epoch, LR 0.000453, LOSS 0.258274, TRAIN_ACC 91.32%, EVAL_ACC 49.12%, EER 36.36%, bestEER 27.27%
28 epoch, LR 0.000439, LOSS 0.273956, TRAIN_ACC 89.58%, EVAL_ACC 49.12%, EER 33.33%, bestEER 27.27%
29 epoch, LR 0.000426, LOSS 0.251399, TRAIN_ACC 90.62%, EVAL_ACC 47.37%, EER 33.33%, bestEER 27.27%
30 epoch, LR 0.000413, LOSS 0.250178, TRAIN_ACC 90.80%, EVAL_ACC 49.12%, EER 30.30%, bestEER 27.27%
31 epoch, LR 0.000401, LOSS 0.269643, TRAIN_ACC 89.58%, EVAL_ACC 54.39%, EER 42.42%, bestEER 27.27%
32 epoch, LR 0.000389, LOSS 0.225974, TRAIN_ACC 92.27%, EVAL_ACC 54.39%, EER 33.33%, bestEER 27.27%
33 epoch, LR 0.000377, LOSS 0.211380, TRAIN_ACC 92.71%, EVAL_ACC 52.63%, EER 30.30%, bestEER 27.27%
34 epoch, LR 0.000366, LOSS 0.220509, TRAIN_ACC 91.84%, EVAL_ACC 50.88%, EER 33.33%, bestEER 27.27%
35 epoch, LR 0.000355, LOSS 0.213143, TRAIN_ACC 92.62%, EVAL_ACC 49.12%, EER 36.36%, bestEER 27.27%
36 epoch, LR 0.000344, LOSS 0.210668, TRAIN_ACC 93.58%, EVAL_ACC 49.12%, EER 33.33%, bestEER 27.27%
37 epoch, LR 0.000334, LOSS 0.208593, TRAIN_ACC 92.97%, EVAL_ACC 50.88%, EER 33.33%, bestEER 27.27%
38 epoch, LR 0.000324, LOSS 0.202767, TRAIN_ACC 93.58%, EVAL_ACC 52.63%, EER 29.17%, bestEER 27.27%
39 epoch, LR 0.000314, LOSS 0.216763, TRAIN_ACC 92.10%, EVAL_ACC 54.39%, EER 30.30%, bestEER 27.27%
40 epoch, LR 0.000305, LOSS 0.191319, TRAIN_ACC 94.88%, EVAL_ACC 50.88%, EER 33.33%, bestEER 27.27%
41 epoch, LR 0.000296, LOSS 0.177544, TRAIN_ACC 94.44%, EVAL_ACC 50.88%, EER 33.33%, bestEER 27.27%
42 epoch, LR 0.000287, LOSS 0.192546, TRAIN_ACC 93.84%, EVAL_ACC 52.63%, EER 30.30%, bestEER 27.27%
43 epoch, LR 0.000278, LOSS 0.184350, TRAIN_ACC 94.18%, EVAL_ACC 54.39%, EER 30.30%, bestEER 27.27%
44 epoch, LR 0.000270, LOSS 0.166134, TRAIN_ACC 94.97%, EVAL_ACC 54.39%, EER 33.33%, bestEER 27.27%
45 epoch, LR 0.000262, LOSS 0.192914, TRAIN_ACC 94.01%, EVAL_ACC 54.39%, EER 30.30%, bestEER 27.27%
46 epoch, LR 0.000254, LOSS 0.166777, TRAIN_ACC 95.14%, EVAL_ACC 54.39%, EER 33.33%, bestEER 27.27%
47 epoch, LR 0.000246, LOSS 0.167841, TRAIN_ACC 94.27%, EVAL_ACC 54.39%, EER 33.33%, bestEER 27.27%
48 epoch, LR 0.000239, LOSS 0.190589, TRAIN_ACC 93.49%, EVAL_ACC 54.39%, EER 36.36%, bestEER 27.27%
49 epoch, LR 0.000232, LOSS 0.166970, TRAIN_ACC 95.14%, EVAL_ACC 52.63%, EER 36.36%, bestEER 27.27%
50 epoch, LR 0.000225, LOSS 0.159396, TRAIN_ACC 95.23%, EVAL_ACC 56.14%, EER 33.33%, bestEER 27.27%
51 epoch, LR 0.000218, LOSS 0.138928, TRAIN_ACC 96.61%, EVAL_ACC 54.39%, EER 33.33%, bestEER 27.27%
52 epoch, LR 0.000212, LOSS 0.161597, TRAIN_ACC 95.40%, EVAL_ACC 52.63%, EER 33.33%, bestEER 27.27%
53 epoch, LR 0.000205, LOSS 0.151945, TRAIN_ACC 95.14%, EVAL_ACC 52.63%, EER 33.33%, bestEER 27.27%
54 epoch, LR 0.000199, LOSS 0.173974, TRAIN_ACC 94.01%, EVAL_ACC 52.63%, EER 36.36%, bestEER 27.27%
55 epoch, LR 0.000193, LOSS 0.148042, TRAIN_ACC 95.57%, EVAL_ACC 54.39%, EER 36.36%, bestEER 27.27%
56 epoch, LR 0.000187, LOSS 0.161085, TRAIN_ACC 94.88%, EVAL_ACC 56.14%, EER 33.33%, bestEER 27.27%
57 epoch, LR 0.000182, LOSS 0.158037, TRAIN_ACC 95.31%, EVAL_ACC 56.14%, EER 33.33%, bestEER 27.27%
58 epoch, LR 0.000176, LOSS 0.136682, TRAIN_ACC 96.35%, EVAL_ACC 56.14%, EER 33.33%, bestEER 27.27%
59 epoch, LR 0.000171, LOSS 0.141984, TRAIN_ACC 95.31%, EVAL_ACC 54.39%, EER 33.33%, bestEER 27.27%
60 epoch, LR 0.000166, LOSS 0.135728, TRAIN_ACC 96.44%, EVAL_ACC 52.63%, EER 36.36%, bestEER 27.27%
61 epoch, LR 0.000161, LOSS 0.142790, TRAIN_ACC 95.83%, EVAL_ACC 52.63%, EER 37.50%, bestEER 27.27%
62 epoch, LR 0.000156, LOSS 0.149369, TRAIN_ACC 95.83%, EVAL_ACC 52.63%, EER 37.50%, bestEER 27.27%
63 epoch, LR 0.000151, LOSS 0.129986, TRAIN_ACC 96.09%, EVAL_ACC 56.14%, EER 33.33%, bestEER 27.27%
64 epoch, LR 0.000147, LOSS 0.110560, TRAIN_ACC 97.40%, EVAL_ACC 56.14%, EER 36.36%, bestEER 27.27%
65 epoch, LR 0.000142, LOSS 0.150692, TRAIN_ACC 94.97%, EVAL_ACC 56.14%, EER 33.33%, bestEER 27.27%
66 epoch, LR 0.000138, LOSS 0.142159, TRAIN_ACC 95.57%, EVAL_ACC 54.39%, EER 33.33%, bestEER 27.27%
67 epoch, LR 0.000134, LOSS 0.133169, TRAIN_ACC 96.53%, EVAL_ACC 54.39%, EER 30.30%, bestEER 27.27%
68 epoch, LR 0.000130, LOSS 0.134095, TRAIN_ACC 96.79%, EVAL_ACC 54.39%, EER 30.30%, bestEER 27.27%
69 epoch, LR 0.000126, LOSS 0.134648, TRAIN_ACC 95.31%, EVAL_ACC 56.14%, EER 33.33%, bestEER 27.27%
70 epoch, LR 0.000122, LOSS 0.129728, TRAIN_ACC 96.27%, EVAL_ACC 56.14%, EER 33.33%, bestEER 27.27%
71 epoch, LR 0.000119, LOSS 0.119910, TRAIN_ACC 96.70%, EVAL_ACC 56.14%, EER 33.33%, bestEER 27.27%
72 epoch, LR 0.000115, LOSS 0.144970, TRAIN_ACC 95.31%, EVAL_ACC 54.39%, EER 30.30%, bestEER 27.27%
73 epoch, LR 0.000112, LOSS 0.140084, TRAIN_ACC 95.92%, EVAL_ACC 54.39%, EER 33.33%, bestEER 27.27%
74 epoch, LR 0.000108, LOSS 0.158542, TRAIN_ACC 95.40%, EVAL_ACC 54.39%, EER 33.33%, bestEER 27.27%
75 epoch, LR 0.000105, LOSS 0.148491, TRAIN_ACC 95.14%, EVAL_ACC 54.39%, EER 33.33%, bestEER 27.27%
76 epoch, LR 0.000102, LOSS 0.117921, TRAIN_ACC 97.05%, EVAL_ACC 52.63%, EER 33.33%, bestEER 27.27%
77 epoch, LR 0.000099, LOSS 0.123463, TRAIN_ACC 96.70%, EVAL_ACC 56.14%, EER 33.33%, bestEER 27.27%
78 epoch, LR 0.000096, LOSS 0.159650, TRAIN_ACC 94.10%, EVAL_ACC 52.63%, EER 33.33%, bestEER 27.27%
79 epoch, LR 0.000093, LOSS 0.146211, TRAIN_ACC 95.23%, EVAL_ACC 54.39%, EER 33.33%, bestEER 27.27%
80 epoch, LR 0.000090, LOSS 0.127021, TRAIN_ACC 96.09%, EVAL_ACC 54.39%, EER 36.36%, bestEER 27.27%
1 epoch, LR 0.001000, LOSS 0.758703, TRAIN_ACC 49.39%, EVAL_ACC 70.18%, EER 30.43%, bestEER 27.27%
2 epoch, LR 0.000970, LOSS 0.652222, TRAIN_ACC 63.11%, EVAL_ACC 59.65%, EER 26.09%, bestEER 26.09%
3 epoch, LR 0.000941, LOSS 0.631458, TRAIN_ACC 64.93%, EVAL_ACC 59.65%, EER 23.53%, bestEER 23.53%
4 epoch, LR 0.000913, LOSS 0.575126, TRAIN_ACC 69.10%, EVAL_ACC 59.65%, EER 23.53%, bestEER 23.53%
5 epoch, LR 0.000885, LOSS 0.556728, TRAIN_ACC 72.14%, EVAL_ACC 59.65%, EER 21.74%, bestEER 21.74%
6 epoch, LR 0.000859, LOSS 0.561012, TRAIN_ACC 70.92%, EVAL_ACC 63.16%, EER 23.53%, bestEER 21.74%
