1 epoch, LR 0.001000, LOSS 0.752012, TRAIN_ACC 51.39%, EVAL_ACC 57.89%, EER 37.50%, bestEER 37.50%
2 epoch, LR 0.000970, LOSS 0.686413, TRAIN_ACC 56.34%, EVAL_ACC 57.89%, EER 33.33%, bestEER 33.33%
3 epoch, LR 0.000941, LOSS 0.655647, TRAIN_ACC 61.20%, EVAL_ACC 57.89%, EER 39.39%, bestEER 33.33%
4 epoch, LR 0.000913, LOSS 0.627212, TRAIN_ACC 64.84%, EVAL_ACC 57.89%, EER 41.67%, bestEER 33.33%
5 epoch, LR 0.000885, LOSS 0.598250, TRAIN_ACC 67.88%, EVAL_ACC 57.89%, EER 37.50%, bestEER 33.33%
6 epoch, LR 0.000859, LOSS 0.577073, TRAIN_ACC 70.92%, EVAL_ACC 57.89%, EER 37.50%, bestEER 33.33%
7 epoch, LR 0.000833, LOSS 0.557609, TRAIN_ACC 71.35%, EVAL_ACC 57.89%, EER 39.39%, bestEER 33.33%
8 epoch, LR 0.000808, LOSS 0.535993, TRAIN_ACC 73.00%, EVAL_ACC 57.89%, EER 45.83%, bestEER 33.33%
9 epoch, LR 0.000784, LOSS 0.532003, TRAIN_ACC 74.65%, EVAL_ACC 57.89%, EER 45.83%, bestEER 33.33%
10 epoch, LR 0.000760, LOSS 0.515732, TRAIN_ACC 73.78%, EVAL_ACC 57.89%, EER 45.45%, bestEER 33.33%
11 epoch, LR 0.000737, LOSS 0.502709, TRAIN_ACC 76.65%, EVAL_ACC 57.89%, EER 50.00%, bestEER 33.33%
12 epoch, LR 0.000715, LOSS 0.487991, TRAIN_ACC 77.60%, EVAL_ACC 57.89%, EER 45.83%, bestEER 33.33%
13 epoch, LR 0.000694, LOSS 0.471747, TRAIN_ACC 78.65%, EVAL_ACC 57.89%, EER 51.52%, bestEER 33.33%
14 epoch, LR 0.000673, LOSS 0.447770, TRAIN_ACC 77.43%, EVAL_ACC 57.89%, EER 45.45%, bestEER 33.33%
15 epoch, LR 0.000653, LOSS 0.425236, TRAIN_ACC 79.43%, EVAL_ACC 57.89%, EER 48.48%, bestEER 33.33%
16 epoch, LR 0.000633, LOSS 0.406110, TRAIN_ACC 81.51%, EVAL_ACC 57.89%, EER 48.48%, bestEER 33.33%
17 epoch, LR 0.000614, LOSS 0.392173, TRAIN_ACC 82.73%, EVAL_ACC 57.89%, EER 45.83%, bestEER 33.33%
18 epoch, LR 0.000596, LOSS 0.362139, TRAIN_ACC 86.63%, EVAL_ACC 57.89%, EER 48.48%, bestEER 33.33%
19 epoch, LR 0.000578, LOSS 0.411113, TRAIN_ACC 81.42%, EVAL_ACC 57.89%, EER 45.83%, bestEER 33.33%
20 epoch, LR 0.000561, LOSS 0.353521, TRAIN_ACC 85.33%, EVAL_ACC 57.89%, EER 48.48%, bestEER 33.33%
21 epoch, LR 0.000544, LOSS 0.337936, TRAIN_ACC 86.55%, EVAL_ACC 57.89%, EER 42.42%, bestEER 33.33%
22 epoch, LR 0.000527, LOSS 0.329099, TRAIN_ACC 87.15%, EVAL_ACC 57.89%, EER 48.48%, bestEER 33.33%
23 epoch, LR 0.000512, LOSS 0.286030, TRAIN_ACC 89.15%, EVAL_ACC 57.89%, EER 41.67%, bestEER 33.33%
24 epoch, LR 0.000496, LOSS 0.298067, TRAIN_ACC 89.06%, EVAL_ACC 57.89%, EER 42.42%, bestEER 33.33%
25 epoch, LR 0.000481, LOSS 0.304293, TRAIN_ACC 87.76%, EVAL_ACC 57.89%, EER 45.45%, bestEER 33.33%
26 epoch, LR 0.000467, LOSS 0.271791, TRAIN_ACC 90.97%, EVAL_ACC 57.89%, EER 42.42%, bestEER 33.33%
27 epoch, LR 0.000453, LOSS 0.281816, TRAIN_ACC 89.58%, EVAL_ACC 57.89%, EER 41.67%, bestEER 33.33%
28 epoch, LR 0.000439, LOSS 0.274786, TRAIN_ACC 90.89%, EVAL_ACC 57.89%, EER 45.83%, bestEER 33.33%
29 epoch, LR 0.000426, LOSS 0.275476, TRAIN_ACC 89.24%, EVAL_ACC 57.89%, EER 42.42%, bestEER 33.33%
30 epoch, LR 0.000413, LOSS 0.268155, TRAIN_ACC 90.28%, EVAL_ACC 57.89%, EER 41.67%, bestEER 33.33%
31 epoch, LR 0.000401, LOSS 0.233555, TRAIN_ACC 93.06%, EVAL_ACC 57.89%, EER 41.67%, bestEER 33.33%
32 epoch, LR 0.000389, LOSS 0.251262, TRAIN_ACC 91.06%, EVAL_ACC 57.89%, EER 41.67%, bestEER 33.33%
33 epoch, LR 0.000377, LOSS 0.242330, TRAIN_ACC 91.32%, EVAL_ACC 57.89%, EER 48.48%, bestEER 33.33%
34 epoch, LR 0.000366, LOSS 0.213641, TRAIN_ACC 92.88%, EVAL_ACC 57.89%, EER 51.52%, bestEER 33.33%
35 epoch, LR 0.000355, LOSS 0.228101, TRAIN_ACC 91.58%, EVAL_ACC 57.89%, EER 45.83%, bestEER 33.33%
36 epoch, LR 0.000344, LOSS 0.207031, TRAIN_ACC 93.84%, EVAL_ACC 57.89%, EER 45.83%, bestEER 33.33%
37 epoch, LR 0.000334, LOSS 0.209068, TRAIN_ACC 92.71%, EVAL_ACC 57.89%, EER 42.42%, bestEER 33.33%
38 epoch, LR 0.000324, LOSS 0.196689, TRAIN_ACC 94.18%, EVAL_ACC 57.89%, EER 41.67%, bestEER 33.33%
39 epoch, LR 0.000314, LOSS 0.218831, TRAIN_ACC 92.80%, EVAL_ACC 57.89%, EER 45.83%, bestEER 33.33%
40 epoch, LR 0.000305, LOSS 0.209345, TRAIN_ACC 92.53%, EVAL_ACC 57.89%, EER 45.83%, bestEER 33.33%
41 epoch, LR 0.000296, LOSS 0.203884, TRAIN_ACC 93.23%, EVAL_ACC 57.89%, EER 48.48%, bestEER 33.33%
42 epoch, LR 0.000287, LOSS 0.200505, TRAIN_ACC 92.80%, EVAL_ACC 57.89%, EER 51.52%, bestEER 33.33%
43 epoch, LR 0.000278, LOSS 0.202203, TRAIN_ACC 92.62%, EVAL_ACC 57.89%, EER 45.83%, bestEER 33.33%
44 epoch, LR 0.000270, LOSS 0.194951, TRAIN_ACC 93.84%, EVAL_ACC 57.89%, EER 51.52%, bestEER 33.33%
45 epoch, LR 0.000262, LOSS 0.194376, TRAIN_ACC 94.01%, EVAL_ACC 57.89%, EER 45.83%, bestEER 33.33%
46 epoch, LR 0.000254, LOSS 0.172100, TRAIN_ACC 94.44%, EVAL_ACC 57.89%, EER 45.83%, bestEER 33.33%
47 epoch, LR 0.000246, LOSS 0.183022, TRAIN_ACC 94.62%, EVAL_ACC 57.89%, EER 45.83%, bestEER 33.33%
48 epoch, LR 0.000239, LOSS 0.166733, TRAIN_ACC 95.05%, EVAL_ACC 57.89%, EER 42.42%, bestEER 33.33%
49 epoch, LR 0.000232, LOSS 0.165283, TRAIN_ACC 95.05%, EVAL_ACC 57.89%, EER 42.42%, bestEER 33.33%
50 epoch, LR 0.000225, LOSS 0.194316, TRAIN_ACC 92.80%, EVAL_ACC 57.89%, EER 42.42%, bestEER 33.33%
51 epoch, LR 0.000218, LOSS 0.172445, TRAIN_ACC 94.27%, EVAL_ACC 57.89%, EER 41.67%, bestEER 33.33%
52 epoch, LR 0.000212, LOSS 0.170299, TRAIN_ACC 94.79%, EVAL_ACC 57.89%, EER 41.67%, bestEER 33.33%
53 epoch, LR 0.000205, LOSS 0.182348, TRAIN_ACC 94.10%, EVAL_ACC 57.89%, EER 41.67%, bestEER 33.33%
54 epoch, LR 0.000199, LOSS 0.162504, TRAIN_ACC 95.23%, EVAL_ACC 57.89%, EER 42.42%, bestEER 33.33%
55 epoch, LR 0.000193, LOSS 0.169672, TRAIN_ACC 95.57%, EVAL_ACC 57.89%, EER 45.83%, bestEER 33.33%
56 epoch, LR 0.000187, LOSS 0.177123, TRAIN_ACC 94.36%, EVAL_ACC 57.89%, EER 42.42%, bestEER 33.33%
57 epoch, LR 0.000182, LOSS 0.184925, TRAIN_ACC 93.49%, EVAL_ACC 57.89%, EER 42.42%, bestEER 33.33%
58 epoch, LR 0.000176, LOSS 0.163219, TRAIN_ACC 94.97%, EVAL_ACC 57.89%, EER 45.83%, bestEER 33.33%
59 epoch, LR 0.000171, LOSS 0.175347, TRAIN_ACC 94.18%, EVAL_ACC 57.89%, EER 48.48%, bestEER 33.33%
