1 epoch, LR 0.001000, LOSS 0.752838, TRAIN_ACC 53.39%, EVAL_ACC 68.42%, EER 46.43%, bestEER 46.43%
2 epoch, LR 0.000970, LOSS 0.593730, TRAIN_ACC 68.75%, EVAL_ACC 52.63%, EER 58.62%, bestEER 46.43%
3 epoch, LR 0.000941, LOSS 0.582195, TRAIN_ACC 71.44%, EVAL_ACC 50.88%, EER 51.72%, bestEER 46.43%
4 epoch, LR 0.000913, LOSS 0.534155, TRAIN_ACC 74.48%, EVAL_ACC 49.12%, EER 37.93%, bestEER 37.93%
5 epoch, LR 0.000885, LOSS 0.531617, TRAIN_ACC 74.31%, EVAL_ACC 50.88%, EER 41.38%, bestEER 37.93%
6 epoch, LR 0.000859, LOSS 0.499352, TRAIN_ACC 75.87%, EVAL_ACC 50.88%, EER 39.29%, bestEER 37.93%
7 epoch, LR 0.000833, LOSS 0.489669, TRAIN_ACC 76.48%, EVAL_ACC 52.63%, EER 35.71%, bestEER 35.71%
8 epoch, LR 0.000808, LOSS 0.474528, TRAIN_ACC 76.82%, EVAL_ACC 56.14%, EER 35.71%, bestEER 35.71%
9 epoch, LR 0.000784, LOSS 0.450501, TRAIN_ACC 80.47%, EVAL_ACC 57.89%, EER 35.71%, bestEER 35.71%
10 epoch, LR 0.000760, LOSS 0.423933, TRAIN_ACC 79.95%, EVAL_ACC 59.65%, EER 39.29%, bestEER 35.71%
11 epoch, LR 0.000737, LOSS 0.409724, TRAIN_ACC 83.51%, EVAL_ACC 59.65%, EER 39.29%, bestEER 35.71%
12 epoch, LR 0.000715, LOSS 0.398049, TRAIN_ACC 82.03%, EVAL_ACC 54.39%, EER 35.71%, bestEER 35.71%
13 epoch, LR 0.000694, LOSS 0.371065, TRAIN_ACC 83.59%, EVAL_ACC 54.39%, EER 39.29%, bestEER 35.71%
14 epoch, LR 0.000673, LOSS 0.374931, TRAIN_ACC 82.12%, EVAL_ACC 52.63%, EER 39.29%, bestEER 35.71%
15 epoch, LR 0.000653, LOSS 0.364481, TRAIN_ACC 83.33%, EVAL_ACC 52.63%, EER 35.71%, bestEER 35.71%
16 epoch, LR 0.000633, LOSS 0.328695, TRAIN_ACC 87.15%, EVAL_ACC 52.63%, EER 35.71%, bestEER 35.71%
17 epoch, LR 0.000614, LOSS 0.349667, TRAIN_ACC 85.24%, EVAL_ACC 52.63%, EER 39.29%, bestEER 35.71%
18 epoch, LR 0.000596, LOSS 0.347597, TRAIN_ACC 85.50%, EVAL_ACC 54.39%, EER 39.29%, bestEER 35.71%
19 epoch, LR 0.000578, LOSS 0.318126, TRAIN_ACC 87.24%, EVAL_ACC 56.14%, EER 39.29%, bestEER 35.71%
20 epoch, LR 0.000561, LOSS 0.298574, TRAIN_ACC 88.45%, EVAL_ACC 54.39%, EER 42.86%, bestEER 35.71%
21 epoch, LR 0.000544, LOSS 0.289637, TRAIN_ACC 88.54%, EVAL_ACC 52.63%, EER 35.71%, bestEER 35.71%
22 epoch, LR 0.000527, LOSS 0.279396, TRAIN_ACC 89.06%, EVAL_ACC 52.63%, EER 37.93%, bestEER 35.71%
23 epoch, LR 0.000512, LOSS 0.273247, TRAIN_ACC 89.67%, EVAL_ACC 52.63%, EER 34.48%, bestEER 34.48%
24 epoch, LR 0.000496, LOSS 0.269781, TRAIN_ACC 89.58%, EVAL_ACC 52.63%, EER 42.86%, bestEER 34.48%
25 epoch, LR 0.000481, LOSS 0.296942, TRAIN_ACC 87.41%, EVAL_ACC 50.88%, EER 42.86%, bestEER 34.48%
26 epoch, LR 0.000467, LOSS 0.253823, TRAIN_ACC 90.62%, EVAL_ACC 50.88%, EER 37.93%, bestEER 34.48%
27 epoch, LR 0.000453, LOSS 0.238965, TRAIN_ACC 91.32%, EVAL_ACC 50.88%, EER 37.93%, bestEER 34.48%
28 epoch, LR 0.000439, LOSS 0.235837, TRAIN_ACC 92.53%, EVAL_ACC 50.88%, EER 39.29%, bestEER 34.48%
29 epoch, LR 0.000426, LOSS 0.243864, TRAIN_ACC 91.49%, EVAL_ACC 50.88%, EER 35.71%, bestEER 34.48%
30 epoch, LR 0.000413, LOSS 0.221229, TRAIN_ACC 92.19%, EVAL_ACC 50.88%, EER 35.71%, bestEER 34.48%
31 epoch, LR 0.000401, LOSS 0.215060, TRAIN_ACC 93.23%, EVAL_ACC 50.88%, EER 39.29%, bestEER 34.48%
32 epoch, LR 0.000389, LOSS 0.204143, TRAIN_ACC 93.23%, EVAL_ACC 50.88%, EER 39.29%, bestEER 34.48%
33 epoch, LR 0.000377, LOSS 0.212169, TRAIN_ACC 92.88%, EVAL_ACC 50.88%, EER 39.29%, bestEER 34.48%
34 epoch, LR 0.000366, LOSS 0.191221, TRAIN_ACC 94.36%, EVAL_ACC 50.88%, EER 35.71%, bestEER 34.48%
35 epoch, LR 0.000355, LOSS 0.207583, TRAIN_ACC 92.53%, EVAL_ACC 50.88%, EER 39.29%, bestEER 34.48%
36 epoch, LR 0.000344, LOSS 0.200413, TRAIN_ACC 92.88%, EVAL_ACC 50.88%, EER 35.71%, bestEER 34.48%
37 epoch, LR 0.000334, LOSS 0.209854, TRAIN_ACC 92.36%, EVAL_ACC 50.88%, EER 35.71%, bestEER 34.48%
38 epoch, LR 0.000324, LOSS 0.181816, TRAIN_ACC 93.06%, EVAL_ACC 50.88%, EER 37.93%, bestEER 34.48%
39 epoch, LR 0.000314, LOSS 0.198812, TRAIN_ACC 94.18%, EVAL_ACC 50.88%, EER 42.86%, bestEER 34.48%
40 epoch, LR 0.000305, LOSS 0.171687, TRAIN_ACC 93.75%, EVAL_ACC 50.88%, EER 42.86%, bestEER 34.48%
41 epoch, LR 0.000296, LOSS 0.186653, TRAIN_ACC 93.23%, EVAL_ACC 50.88%, EER 35.71%, bestEER 34.48%
42 epoch, LR 0.000287, LOSS 0.169993, TRAIN_ACC 94.18%, EVAL_ACC 49.12%, EER 35.71%, bestEER 34.48%
43 epoch, LR 0.000278, LOSS 0.156247, TRAIN_ACC 95.66%, EVAL_ACC 49.12%, EER 39.29%, bestEER 34.48%
44 epoch, LR 0.000270, LOSS 0.172355, TRAIN_ACC 94.36%, EVAL_ACC 50.88%, EER 39.29%, bestEER 34.48%
45 epoch, LR 0.000262, LOSS 0.153771, TRAIN_ACC 95.49%, EVAL_ACC 50.88%, EER 42.86%, bestEER 34.48%
46 epoch, LR 0.000254, LOSS 0.165640, TRAIN_ACC 94.70%, EVAL_ACC 49.12%, EER 35.71%, bestEER 34.48%
47 epoch, LR 0.000246, LOSS 0.160874, TRAIN_ACC 95.40%, EVAL_ACC 49.12%, EER 35.71%, bestEER 34.48%
48 epoch, LR 0.000239, LOSS 0.157742, TRAIN_ACC 94.10%, EVAL_ACC 49.12%, EER 35.71%, bestEER 34.48%
