1 epoch, LR 0.001000, LOSS 0.738924, TRAIN_ACC 51.65%, EVAL_ACC 59.65%, EER 39.13%, bestEER 39.13%
2 epoch, LR 0.000970, LOSS 0.640954, TRAIN_ACC 64.93%, EVAL_ACC 59.65%, EER 35.29%, bestEER 35.29%
3 epoch, LR 0.000941, LOSS 0.616978, TRAIN_ACC 67.45%, EVAL_ACC 59.65%, EER 32.35%, bestEER 32.35%
4 epoch, LR 0.000913, LOSS 0.557426, TRAIN_ACC 72.92%, EVAL_ACC 59.65%, EER 32.35%, bestEER 32.35%
5 epoch, LR 0.000885, LOSS 0.555696, TRAIN_ACC 70.23%, EVAL_ACC 59.65%, EER 32.35%, bestEER 32.35%
6 epoch, LR 0.000859, LOSS 0.539359, TRAIN_ACC 74.74%, EVAL_ACC 61.40%, EER 32.35%, bestEER 32.35%
7 epoch, LR 0.000833, LOSS 0.536861, TRAIN_ACC 72.48%, EVAL_ACC 63.16%, EER 32.35%, bestEER 32.35%
8 epoch, LR 0.000808, LOSS 0.519525, TRAIN_ACC 74.39%, EVAL_ACC 64.91%, EER 32.35%, bestEER 32.35%
9 epoch, LR 0.000784, LOSS 0.497454, TRAIN_ACC 76.74%, EVAL_ACC 63.16%, EER 30.43%, bestEER 30.43%
10 epoch, LR 0.000760, LOSS 0.481938, TRAIN_ACC 76.22%, EVAL_ACC 63.16%, EER 30.43%, bestEER 30.43%
1 epoch, LR 0.001000, LOSS 0.729576, TRAIN_ACC 53.47%, EVAL_ACC 49.12%, EER 44.83%, bestEER 30.43%
2 epoch, LR 0.000970, LOSS 0.645743, TRAIN_ACC 61.28%, EVAL_ACC 49.12%, EER 35.71%, bestEER 30.43%
3 epoch, LR 0.000941, LOSS 0.606963, TRAIN_ACC 66.41%, EVAL_ACC 49.12%, EER 25.00%, bestEER 25.00%
4 epoch, LR 0.000913, LOSS 0.576493, TRAIN_ACC 70.05%, EVAL_ACC 49.12%, EER 28.57%, bestEER 25.00%
5 epoch, LR 0.000885, LOSS 0.550641, TRAIN_ACC 71.27%, EVAL_ACC 49.12%, EER 31.03%, bestEER 25.00%
6 epoch, LR 0.000859, LOSS 0.516571, TRAIN_ACC 75.09%, EVAL_ACC 50.88%, EER 31.03%, bestEER 25.00%
7 epoch, LR 0.000833, LOSS 0.536433, TRAIN_ACC 72.83%, EVAL_ACC 50.88%, EER 31.03%, bestEER 25.00%
8 epoch, LR 0.000808, LOSS 0.500242, TRAIN_ACC 74.91%, EVAL_ACC 50.88%, EER 31.03%, bestEER 25.00%
9 epoch, LR 0.000784, LOSS 0.486582, TRAIN_ACC 77.78%, EVAL_ACC 50.88%, EER 28.57%, bestEER 25.00%
10 epoch, LR 0.000760, LOSS 0.484346, TRAIN_ACC 76.39%, EVAL_ACC 50.88%, EER 32.14%, bestEER 25.00%
