1 epoch, LR 0.001000, LOSS 0.729105, TRAIN_ACC 53.12%, EVAL_ACC 59.65%, EER 43.48%, bestEER 43.48%
2 epoch, LR 0.000970, LOSS 0.639426, TRAIN_ACC 65.19%, EVAL_ACC 59.65%, EER 39.13%, bestEER 39.13%
3 epoch, LR 0.000941, LOSS 0.610774, TRAIN_ACC 67.97%, EVAL_ACC 59.65%, EER 39.13%, bestEER 39.13%
4 epoch, LR 0.000913, LOSS 0.575505, TRAIN_ACC 68.58%, EVAL_ACC 57.89%, EER 39.13%, bestEER 39.13%
5 epoch, LR 0.000885, LOSS 0.575700, TRAIN_ACC 71.09%, EVAL_ACC 59.65%, EER 34.78%, bestEER 34.78%
6 epoch, LR 0.000859, LOSS 0.560303, TRAIN_ACC 70.31%, EVAL_ACC 64.91%, EER 35.29%, bestEER 34.78%
7 epoch, LR 0.000833, LOSS 0.505321, TRAIN_ACC 76.04%, EVAL_ACC 66.67%, EER 39.13%, bestEER 34.78%
8 epoch, LR 0.000808, LOSS 0.513318, TRAIN_ACC 74.91%, EVAL_ACC 66.67%, EER 35.29%, bestEER 34.78%
9 epoch, LR 0.000784, LOSS 0.486540, TRAIN_ACC 76.91%, EVAL_ACC 68.42%, EER 30.43%, bestEER 30.43%
10 epoch, LR 0.000760, LOSS 0.483728, TRAIN_ACC 76.91%, EVAL_ACC 68.42%, EER 30.43%, bestEER 30.43%
1 epoch, LR 0.001000, LOSS 0.720471, TRAIN_ACC 53.82%, EVAL_ACC 45.61%, EER 46.67%, bestEER 30.43%
2 epoch, LR 0.000970, LOSS 0.651723, TRAIN_ACC 64.15%, EVAL_ACC 49.12%, EER 44.44%, bestEER 30.43%
3 epoch, LR 0.000941, LOSS 0.581279, TRAIN_ACC 69.01%, EVAL_ACC 54.39%, EER 40.00%, bestEER 30.43%
4 epoch, LR 0.000913, LOSS 0.574619, TRAIN_ACC 70.31%, EVAL_ACC 57.89%, EER 33.33%, bestEER 30.43%
5 epoch, LR 0.000885, LOSS 0.543124, TRAIN_ACC 72.66%, EVAL_ACC 57.89%, EER 33.33%, bestEER 30.43%
6 epoch, LR 0.000859, LOSS 0.530608, TRAIN_ACC 75.09%, EVAL_ACC 59.65%, EER 33.33%, bestEER 30.43%
7 epoch, LR 0.000833, LOSS 0.521967, TRAIN_ACC 73.35%, EVAL_ACC 59.65%, EER 33.33%, bestEER 30.43%
8 epoch, LR 0.000808, LOSS 0.486052, TRAIN_ACC 78.04%, EVAL_ACC 66.67%, EER 33.33%, bestEER 30.43%
9 epoch, LR 0.000784, LOSS 0.462683, TRAIN_ACC 79.34%, EVAL_ACC 71.93%, EER 33.33%, bestEER 30.43%
10 epoch, LR 0.000760, LOSS 0.455733, TRAIN_ACC 77.26%, EVAL_ACC 71.93%, EER 33.33%, bestEER 30.43%
1 epoch, LR 0.001000, LOSS 0.771674, TRAIN_ACC 50.17%, EVAL_ACC 50.88%, EER 31.03%, bestEER 30.43%
2 epoch, LR 0.000970, LOSS 0.646657, TRAIN_ACC 62.41%, EVAL_ACC 50.88%, EER 32.14%, bestEER 30.43%
3 epoch, LR 0.000941, LOSS 0.620255, TRAIN_ACC 65.62%, EVAL_ACC 50.88%, EER 35.71%, bestEER 30.43%
4 epoch, LR 0.000913, LOSS 0.581757, TRAIN_ACC 69.70%, EVAL_ACC 50.88%, EER 35.71%, bestEER 30.43%
5 epoch, LR 0.000885, LOSS 0.536588, TRAIN_ACC 72.14%, EVAL_ACC 50.88%, EER 32.14%, bestEER 30.43%
6 epoch, LR 0.000859, LOSS 0.546148, TRAIN_ACC 71.96%, EVAL_ACC 54.39%, EER 31.03%, bestEER 30.43%
7 epoch, LR 0.000833, LOSS 0.513370, TRAIN_ACC 73.70%, EVAL_ACC 50.88%, EER 35.71%, bestEER 30.43%
8 epoch, LR 0.000808, LOSS 0.497685, TRAIN_ACC 77.69%, EVAL_ACC 52.63%, EER 39.29%, bestEER 30.43%
9 epoch, LR 0.000784, LOSS 0.481821, TRAIN_ACC 75.69%, EVAL_ACC 54.39%, EER 39.29%, bestEER 30.43%
10 epoch, LR 0.000760, LOSS 0.490430, TRAIN_ACC 75.95%, EVAL_ACC 54.39%, EER 39.29%, bestEER 30.43%
1 epoch, LR 0.001000, LOSS 0.780383, TRAIN_ACC 49.74%, EVAL_ACC 47.37%, EER 30.00%, bestEER 30.00%
2 epoch, LR 0.000970, LOSS 0.686863, TRAIN_ACC 61.02%, EVAL_ACC 47.37%, EER 23.33%, bestEER 23.33%
3 epoch, LR 0.000941, LOSS 0.645008, TRAIN_ACC 64.58%, EVAL_ACC 49.12%, EER 23.33%, bestEER 23.33%
4 epoch, LR 0.000913, LOSS 0.592044, TRAIN_ACC 70.05%, EVAL_ACC 63.16%, EER 23.33%, bestEER 23.33%
