Best model: model_fold_1_epoch_2
true_label, pred_label, file_name
1,0,Joey/Joey_17.wav
0,0,Joey/Joey_31.wav
1,0,B/B_12.wav
0,0,E/E_3.wav
1,1,Joanna/Joanna_29.wav
0,0,B/B_35.wav
1,1,Joanna/Joanna_14.wav
1,1,Kevin/Kevin_30.wav
0,0,Kendra/Kendra_17.wav
1,1,J/J_1.wav
1,1,J/J_3.wav
0,0,B/B_17.wav
0,0,Joey/Joey_1.wav
1,1,Kevin/Kevin_2.wav
1,1,Kevin/Kevin_31.wav
1,1,Kevin/Kevin_10.wav
0,0,H/H_14.wav
0,0,E/E_1.wav
1,0,B/B_14.wav
0,0,E/E_5.wav
1,0,E/E_12.wav
0,0,Kendra/Kendra_3.wav
1,1,Joanna/Joanna_25.wav
1,1,J/J_27.wav
0,0,Kendra/Kendra_20.wav
1,0,Joey/Joey_28.wav
0,0,H/H_9.wav
1,0,Joey/Joey_29.wav
0,0,E/E_35.wav
0,0,E/E_30.wav
0,0,Joey/Joey_4.wav
0,0,Joey/Joey_3.wav
1,1,Kevin/Kevin_12.wav
0,0,Kendra/Kendra_24.wav
1,1,H/H_31.wav
1,1,Joanna/Joanna_12.wav
1,0,Joanna/Joanna_30.wav
0,1,J/J_15.wav
1,0,H/H_19.wav
0,0,H/H_8.wav
1,1,Joanna/Joanna_28.wav
1,0,H/H_22.wav
1,1,Kevin/Kevin_14.wav
0,1,J/J_4.wav
0,0,Joey/Joey_5.wav
0,0,Kendra/Kendra_36.wav
0,0,Kendra/Kendra_16.wav
0,0,B/B_23.wav
0,0,Kendra/Kendra_11.wav
1,1,J/J_9.wav
1,0,Kendra/Kendra_27.wav
0,0,E/E_7.wav
1,0,B/B_15.wav
0,0,Kendra/Kendra_4.wav
0,1,Joanna/Joanna_9.wav
0,0,Joey/Joey_9.wav
0,0,B/B_30.wav
