Best model: model_fold_4_epoch_7
true_label, pred_label, file_name
0,1,Joey/Joey_18.wav
1,1,J/J_32.wav
1,0,H/H_5.wav
0,1,Joey/Joey_10.wav
1,0,Kendra/Kendra_12.wav
1,0,B/B_2.wav
1,0,Joanna/Joanna_3.wav
0,0,Joanna/Joanna_21.wav
1,1,Joey/Joey_30.wav
1,1,Kendra/Kendra_27.wav
1,1,Kendra/Kendra_6.wav
0,0,Kevin/Kevin_18.wav
0,0,Kevin/Kevin_36.wav
1,0,Kevin/Kevin_9.wav
1,0,B/B_4.wav
0,0,Joey/Joey_33.wav
1,1,J/J_20.wav
1,1,E/E_1.wav
1,0,Kevin/Kevin_20.wav
1,1,Joanna/Joanna_6.wav
1,0,Joanna/Joanna_11.wav
0,0,B/B_22.wav
0,0,Joanna/Joanna_17.wav
1,0,H/H_29.wav
1,0,Kevin/Kevin_7.wav
1,0,Kevin/Kevin_13.wav
1,1,Kendra/Kendra_32.wav
1,0,Kevin/Kevin_25.wav
0,0,Kevin/Kevin_4.wav
1,0,Joanna/Joanna_31.wav
1,0,H/H_7.wav
1,0,Joanna/Joanna_23.wav
1,0,Kevin/Kevin_27.wav
1,1,Joey/Joey_20.wav
1,1,Joanna/Joanna_29.wav
1,1,E/E_34.wav
0,0,Kendra/Kendra_35.wav
1,0,Kevin/Kevin_3.wav
0,0,Kevin/Kevin_22.wav
1,0,H/H_6.wav
0,0,Joey/Joey_17.wav
1,0,Joanna/Joanna_36.wav
0,0,B/B_23.wav
0,0,B/B_24.wav
1,0,Kevin/Kevin_30.wav
0,0,H/H_2.wav
1,1,J/J_30.wav
0,0,H/H_17.wav
1,1,J/J_10.wav
1,0,Kevin/Kevin_31.wav
1,1,J/J_18.wav
1,1,Joey/Joey_6.wav
1,0,H/H_33.wav
1,0,E/E_4.wav
1,1,J/J_33.wav
0,0,H/H_14.wav
1,1,Joanna/Joanna_8.wav
